Type,storage_sizing_constant,storage_sizing_constant_units,storage_usage_constant,storage_usage_constant_units,storage_conversion_factor,charging_sizing_constant,charging_sizing_constant_units,charging_usage_constant,charging_usage_constant_units,charging_conversion_factor,discharging_sizing_constant,discharging_sizing_constant_units,discharging_usage_constant,discharging_usage_constant_units,discharging_conversion_factor,lifespan,lifespan_units,minimum_size,maximum_size,location_name,iteration
0,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,153.6970527,461.0911582,MEX,first
1,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,153.697052,307.3941039,MEX,2030
2,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,153.6970481,153.6970481,MEX,2035
3,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,MEX,2040
4,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,MEX,2045
5,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,MEX,2050
6,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,MEX,2055
7,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,USA,first
8,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,USA,2030
9,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,USA,2035
10,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,USA,2040
11,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,USA,2045
12,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,USA,2050
13,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,USA,2055
14,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,CHL,first
15,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,CHL,2030
16,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,CHL,2035
17,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,CHL,2040
18,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,CHL,2045
19,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,CHL,2050
20,0.271,G$/GWh,0,G$/GWh,1.00E+00,0.542,G$/GW,2.71E-05,G$/GWh,0.975,2.71E-01,G$/GW,2.71E-05,G$/GWh,9.75E-01,87600,h,0,500,CHL,2055